"year","Biogenic_silica"
2007,16.69
2006,16.16
2005,8.98
2004,19.3
2003,17.62
2002,10.93
2001,10.64
2000,10.17
1999,10.79
1998,8.69
1997,7.02
1996,9.06
1995,8.54
1994,7.59
1993,7.79
1991,6.65
1989,9.28
1987,10.06
1985,9.42
1983,7.37
1981,8.01
1979,8.81
1977,9.9
1975,8.13
1973,6.9
1971,6.92
1969,6.95
1967,6.9
1965,9.27
1963,11.09
1961,10.16
1959,7.93
1957,7.85
1955,8.16
1953,8.41
1951,8.11
1949,6.83
1947,8.58
1945,6.92
1943,7.68
1941,7.52
1939,7.86
1937,7.27
1935,6.88
1933,9.58
1931,8.28
1929,11
1927,9.58
1925,8.13
1923,10.78
1921,9.82
1919,11.65
1917,9.6
1915,8.93
1913,9.16
1911,11.5
1909,11.28
1907,12.67
1905,9.68
1903,8.38
1901,11.82
1899,12.36
1897,13.05
1895,8.03
1893,7.74
1891,16.6
1889,12.39
1887,12.42
1885,16.31
1883,8.17
1881,10.71
1879,15.04
1877,11.28
1875,9.82
1873,11.55
1871,12.02
1869,12.82
1867,20.22
1865,11.79
1863,9.01
1861,12.68
1859,13.49
1857,18.26
1855,14.36
1853,11.61
1851,9.4
1849,11.68
1847,10.87
1845,10.18
1843,11.42
1841,10.8
1839,10.56
1837,11.21
1835,9
1833.5,9.36
1832,9.65
1830,9.45
1828,10.02
1826,9.28
1824,8.83
1822,8.62
1820,9.31
1818,9.1
1816,9.98
1814,10.48
1812,10.18
1810,8.9
1808,9.31
1806,11.45
1804,10.94
1802,9.79
1800,9.99
1798,9.36
1796,8.32
1794,11.4
1792,8.78
1790,8.8
1788,9.21
1786,11
1784,10.85
1782,9.48
1780,9.32
1778,10.75
1776,14.91
1774,11.78
1772,10.56
1770,9.66
1768,11.67
1766,12.75
1764,12.74
1762,12.78
1760,14.64
1758,13.63
1756,17.94
1754,18
1752,15.81
1750,12.76
1748,10.26
