"year","sardine","anchovy"
1970,0,7.07
1960,0,4.02
1950,0.23,3.71
1940,2.46,1.7
1930,5.29,9.28
1920,4.31,10.01
1910,3.15,13.19
1900,10.31,16.98
1890,1.01,17.35
1880,0,15.76
1870,4.35,10.75
1860,10.05,10.21
1850,5.56,10.33
1840,3.93,12.78
1830,2.39,8.13
1820,2.56,6.24
1810,1.45,6.18
1800,2.01,4.23
1790,0,4.53
1780,0,5.27
1770,1.19,11.5
1760,2.18,20.73
1750,2.91,7.35
1740,1.71,0.39
1730,0.69,-0.1
1720,2.49,0.45
1710,1.76,2.47
1700,2.87,4.98
1690,1.67,2.53
1680,4.08,11.34
1670,0.01,11.46
1660,0,9.02
1650,0,2.85
1640,0,0.04
1630,1.08,2.67
1620,1.08,2.36
1610,0.14,0.04
1600,1.08,0.17
1590,0,2.06
1580,0,6.22
1570,0,3.41
1560,0,4.33
1550,0,7.02
1540,0,3.84
1530,7.35,3.05
1520,18.36,3.3
1510,5.12,6.72
1500,2.21,8.31
1490,0.37,12.96
1480,0,3
1470,1.18,22.01
1460,0,8.07
1450,0.97,2.7
1440,1.02,2.82
1430,1.83,0.26
1420,1.1,1.11
1410,2.05,1.66
1400,0.21,6.37
1390,0.04,6.19
1380,0.94,10.65
1370,1.37,14.51
1360,4.58,20.25
1350,0.68,6.75
1340,3.04,5.16
1330,3.56,1.98
1320,3,2.47
1310,0.04,3.45
1300,0.05,1.38
1290,0.3,-0.09
1280,1.85,4.31
1270,6.6,21.61
1260,3.18,7.43
1250,2.11,11.84
1240,8.06,11.53
1230,2.41,5.97
1220,0.01,1.21
1210,4.73,6.28
1200,0.61,5.55
1190,1.34,3.17
1180,3.57,9.71
1170,3.36,9.77
1160,6.75,8.61
1150,6.32,11.3
1140,2.21,25.48
1130,0.02,11.06
1120,0.02,12.16
1110,0.02,5.63
1100,0.37,5.38
1090,1.7,13.64
1080,1.48,12.97
1070,0.11,24.03
1060,0,10.95
1050,3.33,13.03
1040,12.59,9.61
1030,15.63,7.84
1020,8.95,6.62
1010,2.48,5.95
1000,6.59,7.72
990,21.33,22.03
980,10.88,12.49
970,6,7.97
960,9.81,12.74
950,4.67,6.57
940,4.58,7.8
930,6.9,14.15
920,5.19,19.59
910,2.79,18.62
900,0.9,12.57
890,1.29,12.08
880,0.09,19.91
870,0.78,11.05
860,2.71,17.83
850,2.79,19.3
840,0.61,12.33
830,0.14,9.16
820,1.43,8.18
810,1.43,5.01
800,1.64,10.2
790,1.47,14.12
780,1.73,16.75
770,3.49,16.75
760,1.6,8.38
750,3.19,8.44
740,1.39,14.98
730,0.19,14.86
720,0.28,5.76
710,2.34,7.41
700,8.3,13.52
690,17.12,15.6
680,11.34,18.6
670,2.99,16.83
660,1.83,14.75
650,0.33,14.38
640,0.29,12.19
630,2.05,20.99
620,5.56,23.56
610,6.08,14.45
600,5.14,11.15
590,4.54,6.63
580,2.91,10.85
570,7.24,21
560,6.12,37.93
550,4.71,12.14
540,9.9,14.77
530,18.94,19.42
520,12.21,20.27
510,6.26,26.57
500,7.67,24.19
490,10.37,18.63
480,8.79,15.88
470,8.19,14.35
460,8.41,14.23
450,1.25,14.05
440,0.23,8.43
430,0.23,5.62
420,0.23,18.95
410,0.19,9.11
400,7.6,8.5
390,10.51,18.22
380,14.67,16.87
370,12.06,14.49
360,4.56,7.71
350,0.49,5.82
340,0.15,8.51
330,0.88,12.12
320,1.57,15.11
310,0.45,15.3
300,0.15,23.18
290,0.2,20.37
